Name,Definition,Value
"Point A",,"A = (0, 0)"
"Point B",,"B = (65, 0)"
"Image TenAnh1",,TenAnh1
"Point D",,"D = (8.8472659256131, -0.5161850716126)"
"Point E",,"E = (9.5332476517516, 3.4768299850467)"
"Point F",,"F = (9.9184762399777, 1.1920259445331)"
"Point G",,"G = (2.3068906864064, 1.3381471331706)"
"Point H",,"H = (1, 5)"
"Line f","PerpendicularLine(G, yAxis)","f: y = 1.3381471331706"
"Line g","PerpendicularLine(D, yAxis)","g: y = -0.5161850716126"
"Line h","PerpendicularLine(D, g)","h: x = 8.8472659256131"
"Line i","PerpendicularLine(F, f)","i: x = 9.9184762399777"
"Line j","PerpendicularLine(E, yAxis)","j: y = 3.4768299850467"
"Point C",,"C = (7.3293049843316, -2.8392698215157)"
"Line k","Line(C, g)","k: y = -2.8392698215157"
"Line l","Line(G, yAxis)","l: x = 2.3068906864064"
"Line m","Line(H, l)","m: x = 1"
"Point I",,"I = (-5.4441820289982, 5.078062365648)"
"Point J",,"J = (-2.4801093695853, 9.2345780489627)"
"Line n","PerpendicularLine(J, m)","n: y = 9.2345780489627"
"Line p","PerpendicularLine(I, j)","p: x = -5.4441820289982"
"Point K",,"K = (-1.6624341531955, 2.4546877130641)"
"Line q","Line(K, m)","q: x = -1.6624341531955"
"Number khoangcachDf","Distance(D, f)","khoangcachDf = 1.8543322047832"
"Number khoangcachDk","Distance(D, k)","khoangcachDk = 2.3230847499031"
"Point L",Point(f),"L = (15.3254981001543, 1.3381471331706)"
"Line r","PerpendicularLine(L, f)","r: x = 15.3254981001543"
"Number khoangcachFr","Distance(F, r)","khoangcachFr = 5.4070218601766"
"Number khoangcachLj","Distance(L, j)","khoangcachLj = 2.1386828518761"
"Number khoangcachGh","Distance(G, h)","khoangcachGh = 6.5403752392068"
"Number khoangcachHq","Distance(H, q)","khoangcachHq = 2.6624341531955"
"Number khoangcachKm","Distance(K, m)","khoangcachKm = 2.6624341531955"
"Number khoangcachIq","Distance(I, q)","khoangcachIq = 3.7817478758027"
"Number khoangcachIm","Distance(I, m)","khoangcachIm = 6.4441820289982"
"Number khoangcachGm","Distance(G, m)","khoangcachGm = 1.3068906864064"
"Point M",Point(j),"M = (0.7497250735747, 3.4768299850467)"
"Number khoangcachMm","Distance(M, m)","khoangcachMm = 0.2502749264253"
"Line s","PerpendicularLine(M, j)","s: x = 0.7497250735747"
"Point N",Point(s),"N = (0.7497250735747, 2.4650770733389)"
"Number khoangcachNM","Distance(N, M)","khoangcachNM = 1.0117529117077"
"Point O",Point(j),"O = (-0.2631220658222, 3.4768299850467)"
"Arc c","CircularArc(M, N, O)","c = 4.7677732720036"
"Arc d","CircularArc(M, O, N)","d = 1.5909765661694"
"Number khoangcachNl","Distance(N, l)","khoangcachNl = 1.5571656128316"
"Line t","Line(N, f)","t: y = 2.4650770733389"
"Line a","Line(O, q)","a: x = -0.2631220658222"
"Number khoangcachIa","Distance(I, a)","khoangcachIa = 5.181059963176"
"Point P",Point(q),"P = (-1.6624341531955, 8.3411098686563)"
"Line b","Line(P, n)","b: y = 8.3411098686563"
"Point M'","Reflect(M, a)","M' = (-1.2759692052191, 3.4768299850467)"
"Line e","PerpendicularLine(M', j)","e: x = -1.2759692052191"
"Point Q","Intersect(a, b)","Q = (-0.2631220658222, 8.3411098686563)"
"Point R","Intersect(b, e)","R = (-1.2759692052191, 8.3411098686563)"
"Line f1","AngleBisector(a, b)","f1: y = -x + 8.0779878028342"
"Line g1","AngleBisector(a, b)","g1: y = x + 8.6042319344785"
"Point S","Intersect(e, g1)","S = (-1.2759692052191, 7.3282627292594)"
"Line h1","AngleBisector(b, e)","h1: y = x + 9.6170790738755"
"Line i1","AngleBisector(b, e)","i1: y = -x + 7.0651406634372"
"Point T","Intersect(a, i1)","T = (-0.2631220658222, 7.3282627292594)"
"Arc c1","CircularArc(S, T, R)","c1 = 1.5909765661694"
"Number khoangcachJb","Distance(J, b)","khoangcachJb = 0.8934681803063"
"Number khoangcachSn","Distance(S, n)","khoangcachSn = 1.9063153197033"
"Line j1","PerpendicularLine(S, e)","j1: y = 7.3282627292594"
"Point U",Point(j1),"U = (-3.5424812900626, 7.3282627292594)"
"Number khoangcachUp","Distance(U, p)","khoangcachUp = 1.9017007389356"
"Line k1","PerpendicularLine(U, j1)","k1: x = -3.5424812900626"
"Point V","Intersect(b, k1)","V = (-3.5424812900626, 8.3411098686563)"
"Number khoangcachUS","Distance(U, S)","khoangcachUS = 2.2665120848435"
"Point Z",Point(k1),"Z = (-3.5424812900626, 6.3090150218132)"
"Line m1","PerpendicularLine(Z, k1)","m1: y = 6.3090150218132"
"Number o","Distance(S, n)","o = 1.9063153197033"
"Number khoangcachVR","Distance(V, R)","khoangcachVR = 2.2665120848435"
"Number u","Distance(U, p)","u = 1.9017007389356"
"Number khoangcachVU","Distance(V, U)","khoangcachVU = 1.0128471393969"
"Number v","Distance(U, p)","v = 1.9017007389356"
"Arc d1","CircularArc(U, V, Z)","d1 = 3.1819531323388"
"Point W","Intersect(d1, j1, 1)","W = (-4.5553284294595, 7.3282627292594)"
"Point S'","Reflect(S, m1)","S' = (-1.2759692052191, 5.289767314367)"
"Line l1","PerpendicularLine(S', e)","l1: y = 5.289767314367"
"Point A1(-0.2631220658222, 5.289767314367)","Intersect(a, l1)","A1 = (-0.2631220658222, 5.289767314367)"
"Point B1(-1.2759692052191, 6.3090150218132)","Intersect(e, m1)","B1 = (-1.2759692052191, 6.3090150218132)"
"Arc e1","CircularArc(S', A1, B1)","e1 = 1.5909765661694"
"Number khoangcachA1O","Distance(A1, O)","khoangcachA1O = 1.8129373293204"
"Point C1(8.8472659256131, -2.8392698215157)","Intersect(h, k)","C1 = (8.8472659256131, -2.8392698215157)"
"Point M'1(0.7497250735747, 1.4533241616312)","Reflect(M, t)","M'1 = (0.7497250735747, 1.4533241616312)"
"Line n1","PerpendicularLine(M'1, s)","n1: y = 1.4533241616312"
"Point D1(2.3068906864064, 1.4533241616312)","Intersect(l, n1)","D1 = (2.3068906864064, 1.4533241616312)"
"Number w","Distance(N, l)","w = 1.5571656128316"
"Point E1(2.3068906864064, 2.4650770733389)","Intersect(l, t)","E1 = (2.3068906864064, 2.4650770733389)"
"Point F1(3.3149601022174, 1.4533241616312)",Point(n1),"F1 = (3.3149601022174, 1.4533241616312)"
"Arc p1","CircularArc(D1, E1, F1)","p1 = 4.7677732720036"
"Arc q1","CircularArc(D1, F1, E1)","q1 = 1.5834717355102"
"Point G1(9.9184762399777, -2.0038928934323)",Point(i),"G1 = (9.9184762399777, -2.0038928934323)"
"Line r1","PerpendicularLine(G1, i)","r1: y = -2.0038928934323"
"Point H1(8.6573989555101, -2.3530938798016)",,"H1 = (8.6573989555101, -2.3530938798016)"
"Line s1","PerpendicularLine(F1, r1)","s1: x = 3.3149601022174"
"Point I1(11.5, -2.0038928934323)",Point(r1),"I1 = (11.5, -2.0038928934323)"
"Line t1","PerpendicularLine(I1, r1)","t1: x = 11.5"
"Point J1(11.5929221857771, -1.1266600020107)",,"J1 = (11.5929221857771, -1.1266600020107)"
"Point K1(11.5, -0.5161850716126)","Intersect(g, t1)","K1 = (11.5, -0.5161850716126)"
"Number khoangcachG1K1","Distance(G1, K1)","khoangcachG1K1 = 2.171288089273"
"Point L1(4.3230295180284, 1.4533241616312)","Reflect(D1, s1)","L1 = (4.3230295180284, 1.4533241616312)"
"Line a1","PerpendicularLine(L1, n1)","a1: x = 4.3230295180284"
"Point M1(4.3230295180284, -0.7478731694528)",Point(a1),"M1 = (4.3230295180284, -0.7478731694528)"
"Number khoangcachM1k","Distance(M1, k)","khoangcachM1k = 2.0913966520629"
"Line b1","PerpendicularLine(M1, s1)","b1: y = -0.7478731694528"
"Point N1(3.3149601022174, -0.7478731694528)","Intersect(s1, b1)","N1 = (3.3149601022174, -0.7478731694528)"
"Point O1(4.3230295180284, -1.5153114015126)",Point(a1),"O1 = (4.3230295180284, -1.5153114015126)"
"Arc c2","CircularArc(M1, N1, O1)","c2 = 1.5834717355102"
"Point P1(8.8472659256131, -2.0038928934323)","Intersect(h, r1)","P1 = (8.8472659256131, -2.0038928934323)"
"Point Q1(4.3230295180284, -1.7559425852638)","Intersect(c2, a1, 1)","Q1 = (4.3230295180284, -1.7559425852638)"
"Number khoangcachDP1","Distance(D, P1)","khoangcachDP1 = 1.4877078218197"
"Line f2","Line((4.3230295180284, -2.0038928934323), r1)","f2: y = -2.0038928934323"
"Line g2","Line(Q1, f2)","g2: y = -1.7559425852638"
"Point R1(9.9184762399777, -1.7559425852638)","Intersect(i, g2)","R1 = (9.9184762399777, -1.7559425852638)"
"Number khoangcachDg2","Distance(D, g2)","khoangcachDg2 = 1.2397575136513"
"Point S1(9.9184762399777, -0.5161850716126)","Intersect(g, i)","S1 = (9.9184762399777, -0.5161850716126)"
"Point T1(11.5, -1.7559425852638)","Intersect(t1, g2)","T1 = (11.5, -1.7559425852638)"
"Number khoangcachS1T1","Distance(S1, T1)","khoangcachS1T1 = 2.0095313125627"
"Number khoangcachT1S1","Distance(T1, S1)","khoangcachT1S1 = 2.0095313125627"
"Line h2","PerpendicularBisector(S1, T1)","h2: y = 1.2756718492187x - 14.7975374246877"
"Point U1(10.2233147556022, -1.7559425852638)","Intersect(g2, h2)","U1 = (10.2233147556022, -1.7559425852638)"
"Point V1(11.5, -0.1273111586727)","Intersect(t1, h2)","V1 = (11.5, -0.1273111586727)"
"Segment i2","Segment(V1, U1)","i2 = 2.0693877203036"
"Line j2","AngleBisector(t, t1)","j2: y = -x + 13.9650770733389"
"Line k2","AngleBisector(t, t1)","k2: y = x - 9.0349229266611"
"Point W1(10.4882470882923, 1.4533241616312)","Intersect(n1, k2)","W1 = (10.4882470882923, 1.4533241616312)"
"Point Z1(11.5, 1.4533241616312)","Intersect(n1, t1)","Z1 = (11.5, 1.4533241616312)"
"Point A2(10.5, 2.4650770733389)",Point(t),"A2 = (10.5, 2.4650770733389)"
"Arc d2","CircularArc(W1, Z1, A2)","d2 = 1.5775053742316"
"Point B2(12.5117529117077, 1.4533241616312)","Intersect(n1, j2)","B2 = (12.5117529117077, 1.4533241616312)"
"Circle e2","Circle(B2, Z1)","e2: (x - 12.5117529117077)² + (y - 1.4533241616312)² = 1.0236439543491"
"Point C2(12.5117529117077, 2.4650770733389)","Intersect(e2, t, 1)","C2 = (12.5117529117077, 2.4650770733389)"
"Arc p2","CircularArc(B2, C2, Z1)","p2 = 1.5892577573345"
"Line l2","AngleBisector(g2, i2)","l2: y = -2.0545305156643x + 19.2481695513621"
"Line m2","AngleBisector(g2, i2)","m2: y = 0.4867292027915x - 6.7319284261442"
"Line n2","AngleBisector(t1, i2)","n2: y = -0.345234892975x + 3.84289011054"
"Line q2","AngleBisector(t1, i2)","q2: y = 2.8965785914124x - 33.4379649599154"
"Number khoangcachU1T1","Distance(U1, T1)","khoangcachU1T1 = 1.2766852443978"
"Number khoangcachV1g2","Distance(V1, g2)","khoangcachV1g2 = 1.6286314265911"
"Point D2(9.6993179805971, -1.7559425852638)",Point(g2),"D2 = (9.6993179805971, -1.7559425852638)"
"Point E2(11.5, 0.2438177203146)",Point(t1),"E2 = (11.5, 0.2438177203146)"
"Number khoangcachD2U1","Distance(D2, U1)","khoangcachD2U1 = 0.5239967750052"
"Number khoangcachE2V1","Distance(E2, V1)","khoangcachE2V1 = 0.3711288789873"
"Line r2","PerpendicularLine(D2, g2)","r2: x = 9.6993179805971"
"Line s2","PerpendicularLine(E2, t1)","s2: y = 0.2438177203146"
"Point F2(9.6993179805971, -0.679375220906)","Intersect(l2, r2)","F2 = (9.6993179805971, -0.679375220906)"
"Point G2(10.4249960344704, 0.2438177203146)","Intersect(n2, s2)","G2 = (10.4249960344704, 0.2438177203146)"
"Number khoangcachG2E2","Distance(G2, E2)","khoangcachG2E2 = 1.0750039655296"
"Number khoangcachF2D2","Distance(F2, D2)","khoangcachF2D2 = 1.0765673643578"
"Point H2(10.5465886129841, -1.3435512258135)","Reflect(D2, l2)","H2 = (10.5465886129841, -1.3435512258135)"
"Point I2(11.2710362543837, -0.4193937634471)","Reflect(E2, n2)","I2 = (11.2710362543837, -0.4193937634471)"
"Arc t2","CircularArc(F2, D2, H2)","t2 = 0.9753155992487"
"Arc c3","CircularArc(G2, I2, E2)","c3 = 0.7147130413858"
"Number khoangcachZ1E2","Distance(Z1, E2)","khoangcachZ1E2 = 1.2095064413166"
"Point J2(15.3254981001543, 2.4650770733389)","Intersect(r, t)","J2 = (15.3254981001543, 2.4650770733389)"
"Segment a2","Segment(C2, J2)","a2 = 2.8137451884465"
"Segment b2","Segment(V, R)","b2 = 2.2665120848435"
"Segment f3","Segment(Z, B1)","f3 = 2.2665120848435"
"Segment g3","Segment(T, A1)","g3 = 2.0384954148924"
"Segment h3","Segment(A1, O)","h3 = 1.8129373293204"
"Segment i3","Segment(F1, N1)","i3 = 2.201197331084"
"Segment j3","Segment(Q1, D2)","j3 = 5.3762884625686"
"Segment k3","Segment(H2, I2)","k3 = 1.174262066311"
"Segment l3","Segment(E2, Z1)","l3 = 1.2095064413166"
"Segment m3","Segment(A2, E1)","m3 = 8.1931093135936"
"Segment n3","Segment(A2, C2)","n3 = 2.0117529117077"
"Segment p3","Segment(N, E1)","p3 = 1.5571656128316"
"Line q3","PerpendicularLine(N1, i3)","q3: y = -0.7478731694528"
"Line r3","PerpendicularLine(Q1, j3)","r3: x = 4.3230295180284"
"Point K2(4.3230295180284, -0.7478731694528)","Intersect(q3, r3)","K2 = (4.3230295180284, -0.7478731694528)"
"Point L2(9.6993179805971, -1.7559425852638)","Intersect(t2, j3)","L2 = (9.6993179805971, -1.7559425852638)"
"Point M2(9.6993179805971, -1.7559425852638)","Intersect(t2, j3)","M2 = (9.6993179805971, -1.7559425852638)"
"Point N2(10.5465886129841, -1.3435512258135)","Intersect(t2, k3)","N2 = (10.5465886129841, -1.3435512258135)"
"Point O2(?, ?)","Intersect(l3, xAxis)","O2 = (?, ?)"
"Point P2(11.5, 0.2438177203146)","Intersect(c3, l3)","P2 = (11.5, 0.2438177203146)"
"Point Q2(11.2710362543837, -0.4193937634471)","Intersect(c3, k3)","Q2 = (11.2710362543837, -0.4193937634471)"
"Point R2(11.2710362543837, -0.4193937634471)","Intersect(c3, k3)","R2 = (11.2710362543837, -0.4193937634471)"
"Line s3","PerpendicularLine(B1, f3)","s3: x = -1.2759692052191"
"Line t3","PerpendicularLine(A1, h3)","t3: y = 5.289767314367"
"Point S2(-1.2759692052191, 5.289767314367)","Intersect(s3, t3)","S2 = (-1.2759692052191, 5.289767314367)"
"Point T2(0, 0)","Intersect(xAxis, yAxis)","T2 = (0, 0)"
"Point U2(25, 25)",,"U2 = (25, 25)"
"Vector u1","Vector(T2, U2)","u1 = (25, 25)"
"Arc d'","Translate(d, u1)","d' = 1.5909765661694"
"Arc d3","Translate(c1, u1)","d3 = 1.5909765661694"
"Arc e3","Translate(d1, u1)","e3 = 3.1819531323388"
"Arc c4","Translate(e1, u1)","c4 = 1.5909765661694"
"Arc d4","Translate(q1, u1)","d4 = 1.5834717355102"
"Arc e4","Translate(c2, u1)","e4 = 1.5834717355102"
"Arc f4","Translate(d2, u1)","f4 = 1.5775053742316"
"Arc g4","Translate(p2, u1)","g4 = 1.5892577573345"
"Arc h4","Translate(t2, u1)","h4 = 0.9753155992487"
"Arc k4","Translate(c3, u1)","k4 = 0.7147130413858"
"Point V2(37.5117529117077, 27.4650770733389)","Translate(C2, u1)","V2 = (37.5117529117077, 27.4650770733389)"
"Point W2(40.3254981001543, 27.4650770733389)","Translate(J2, u1)","W2 = (40.3254981001543, 27.4650770733389)"
"Segment a3","Segment(V2, W2)","a3 = 2.8137451884465"
"Point V'","Translate(V, u1)","V' = (21.4575187099374, 33.3411098686563)"
"Point R'","Translate(R, u1)","R' = (23.7240307947809, 33.3411098686563)"
"Segment b3","Segment(V', R')","b3 = 2.2665120848435"
"Point Z'","Translate(Z, u1)","Z' = (21.4575187099374, 31.3090150218132)"
"Point Z2(23.7240307947809, 31.3090150218132)","Translate(B1, u1)","Z2 = (23.7240307947809, 31.3090150218132)"
"Segment i4","Segment(Z', Z2)","i4 = 2.2665120848435"
"Point T'","Translate(T, u1)","T' = (24.7368779341778, 32.3282627292594)"
"Point A3(24.7368779341778, 30.289767314367)","Translate(A1, u1)","A3 = (24.7368779341778, 30.289767314367)"
"Segment j4","Segment(T', A3)","j4 = 2.0384954148924"
"Point B3(24.7368779341778, 30.289767314367)","Translate(A1, u1)","B3 = (24.7368779341778, 30.289767314367)"
"Point O'","Translate(O, u1)","O' = (24.7368779341778, 28.4768299850467)"
"Segment l4","Segment(B3, O')","l4 = 1.8129373293204"
"Point C3(28.3149601022174, 26.4533241616312)","Translate(F1, u1)","C3 = (28.3149601022174, 26.4533241616312)"
"Point D3(28.3149601022174, 24.2521268305472)","Translate(N1, u1)","D3 = (28.3149601022174, 24.2521268305472)"
"Segment m4","Segment(C3, D3)","m4 = 2.201197331084"
"Point E3(29.3230295180284, 23.2440574147362)","Translate(Q1, u1)","E3 = (29.3230295180284, 23.2440574147362)"
"Point F3(34.6993179805971, 23.2440574147362)","Translate(D2, u1)","F3 = (34.6993179805971, 23.2440574147362)"
"Segment n4","Segment(E3, F3)","n4 = 5.3762884625686"
"Point G3(35.5465886129841, 23.6564487741865)","Translate(H2, u1)","G3 = (35.5465886129841, 23.6564487741865)"
"Point H3(36.2710362543837, 24.5806062365529)","Translate(I2, u1)","H3 = (36.2710362543837, 24.5806062365529)"
"Segment p4","Segment(G3, H3)","p4 = 1.174262066311"
"Point I3(36.5, 25.2438177203146)","Translate(E2, u1)","I3 = (36.5, 25.2438177203146)"
"Point J3(36.5, 26.4533241616312)","Translate(Z1, u1)","J3 = (36.5, 26.4533241616312)"
"Segment q4","Segment(I3, J3)","q4 = 1.2095064413166"
"Point K3(35.5, 27.4650770733389)","Translate(A2, u1)","K3 = (35.5, 27.4650770733389)"
"Point L3(27.3068906864064, 27.4650770733389)","Translate(E1, u1)","L3 = (27.3068906864064, 27.4650770733389)"
"Segment r4","Segment(K3, L3)","r4 = 8.1931093135936"
"Point M3(35.5, 27.4650770733389)","Translate(A2, u1)","M3 = (35.5, 27.4650770733389)"
"Point N3(37.5117529117077, 27.4650770733389)","Translate(C2, u1)","N3 = (37.5117529117077, 27.4650770733389)"
"Segment s4","Segment(M3, N3)","s4 = 2.0117529117077"
"Point N'","Translate(N, u1)","N' = (25.7497250735747, 27.4650770733389)"
"Point O3(27.3068906864064, 27.4650770733389)","Translate(E1, u1)","O3 = (27.3068906864064, 27.4650770733389)"
"Segment t4","Segment(N', O3)","t4 = 1.5571656128316"
"Point W'","Translate(W, u1)","W' = (20.4446715705405, 32.3282627292594)"
"Point P3(29.3230295180284, 24.2521268305472)","Translate(K2, u1)","P3 = (29.3230295180284, 24.2521268305472)"
"Point Q3(34.6993179805971, 23.2440574147362)","Translate(M2, u1)","Q3 = (34.6993179805971, 23.2440574147362)"
"Point R3(35.5465886129841, 23.6564487741865)","Translate(N2, u1)","R3 = (35.5465886129841, 23.6564487741865)"
"Point S3(36.5, 25.2438177203146)","Translate(P2, u1)","S3 = (36.5, 25.2438177203146)"
"Point T3(36.2710362543837, 24.5806062365529)","Translate(Q2, u1)","T3 = (36.2710362543837, 24.5806062365529)"
"Point U3(36.2710362543837, 24.5806062365529)","Translate(R2, u1)","U3 = (36.2710362543837, 24.5806062365529)"
"Point V3(23.7240307947809, 30.289767314367)","Translate(S2, u1)","V3 = (23.7240307947809, 30.289767314367)"
"Point W3(25, 25)","Translate(T2, u1)","W3 = (25, 25)"
"List l1","{d', d3, e3, c4, d4, e4, f4, g4, h4, k4, a3, b3, i4, j4, l4, m4, n4, p4, q4, r4, s4, t4, U2, W', P3, Q3, R3, S3, T3, U3, V3, W3}","l1 = {1.5909765661694, 1.5909765661694, 3.1819531323388, 1.5909765661694, 1.5834717355102, 1.5834717355102, 1.5775053742316, 1.5892577573345, 0.9753155992487, 0.7147130413858, 2.8137451884465, 2.2665120848435, 2.2665120848435, 2.0384954148924, 1.8129373293204, 2.201197331084, 5.3762884625686, 1.174262066311, 1.2095064413166, 8.1931093135936, 2.0117529117077, 1.5571656128316, (25, 25), (20.4446715705405, 32.3282627292594), (29.3230295180284, 24.2521268305472), (34.6993179805971, 23.2440574147362), (35.5465886129841, 23.6564487741865), (36.5, 25.2438177203146), (36.2710362543837, 24.5806062365529), (36.2710362543837, 24.5806062365529), (23.7240307947809, 30.289767314367), (25, 25)}"
